id,vehicle,player,damage,isWin,createTime
1,18,kkkwww,1234,胜利,
2,19,full1994,814,胜利,
3,20,ENMO,573,胜利,
4,21,ENMO,660,胜利,
5,23,ENMO,530,胜利,
6,24,ENMO,1053,胜利,
7,25,ENMO,969,胜利,
8,26,ENMO,5106,胜利,
9,27,Bignub,5913,胜利,
10,28,WoTB_Minecraft,6035,胜利,
11,29,ENMO,4960,胜利,
12,30,xuanyanfeng,5207,胜利,
13,31,ARC_BigClock,6131,胜利,
14,32,xiaoran007,5051,失败,
15,33,Jack_172,5764,胜利,
16,34,Disagree,5412,胜利,
17,35,xiaoran007,4497,失败,
18,36,,5824,,
19,37,HCx_hei,8258,平局,
20,38,HCx_hei,3007,胜利,
21,40,FURYqtx,760,胜利,
22,41,Rip,1489,胜利,
23,42,97_0614,843,胜利,
24,43,97_0614,1081,失败,
25,44,ENMO,1424,胜利,
26,45,ENMO,705,胜利,
27,46,ENMO,592,胜利,
28,47,ENMO,1237,胜利,
29,48,Rip,1152,胜利,
30,50,ENMO,924,胜利,
31,53,ENMO,1850,胜利,
32,54,Rip,1850,胜利,
33,55,97_0614,1690,胜利,
34,56,97_0614,1633,胜利,
35,57,Shiina Mashiro,1553,胜利,
36,58,ENMO,1355,胜利,
37,59,Jor_Mosi,1541,胜利,
38,60,xiaoran121,1708,胜利,
39,61,Shiina Mashiro,1377,胜利,
40,62,WoTB_Minecraft,1553,胜利,
41,63,97_0614,1720,胜利,
42,64,Jor_Mosi,1348,胜利,
43,65,115555yu,1750,胜利,
45,67,HCx_hei,1717,胜利,
46,69,Rip,1410,胜利,
47,70,T_34_85_,2550,胜利,
48,71,ENMO,1624,胜利,
49,72,CHINA123_,2146,胜利,
50,73,ENMO,2179,胜利,
51,74,ENMO,1411,胜利,
52,75,skskjjsj,2025,胜利,
53,76,skskjjsj,1845,胜利,
54,77,ENMO,1896,胜利,
55,79,WoTB_Minecraft,2336,胜利,
56,80,CHINA123_,918,胜利,
57,81,Shiina Mashiro,1756,胜利,
58,82,97_0614,2286,胜利,
59,83,Jor_Mosi,2125,胜利,
60,84,luskens,1867,胜利,
61,85,Jor_Mosi,1752,胜利,
63,87,WoTB_Minecraft,1691,胜利,
64,88,WoTB_Minecraft,2830,胜利,
65,89,ENMO,2515,胜利,
66,90,ENMO,1928,胜利,
67,92,WoTB_Minecraft,2574,胜利,
68,93,Disagree,2123,胜利,
69,95,HCx_hei,2327,胜利,
70,96,11555yu,3065,胜利,
71,97,Rip,2140,胜利,
72,98,full1994,2433,胜利,
73,99,full1994,3600,胜利,
74,100,HCx_hei,2570,胜利,
75,101,ENMO,2477,胜利,
76,102,HCx_hei,2069,胜利,
77,103,FURYqtx,3976,胜利,
78,104,HCx_hei,3602,胜利,
79,105,WoTB_Minecraft,3259,胜利,
80,109,amx30b6,4972,失败,
81,110,amx30b6,3458,失败,
82,111,amx30b6,4049,失败,
83,112,_Metroplex_,4229,失败,
84,113,WoTB_Minecraft,6002,胜利,
85,114,Disagree,3830,胜利,
86,115,WoTB_Minecraft,3967,胜利,
87,116,ENMO,3561,胜利,
88,117,WoTB_Minecraft,3147,胜利,
89,118,WoTB_Minecraft,4164,胜利,
90,119,wot_8601,2846,胜利,
91,120,HCx_hei,3750,胜利,
92,121,WoTB_Minecraft,4030,胜利,
93,122,CHINA123,6082,胜利,
94,123,HCx_hei,1200,胜利,
95,124,Reflection_Nagisa,4267,平局,
96,126,ENMO,7898,失败,
97,127,changyuxi,8367,胜利,
98,128,97_0614,7661,胜利,
99,129,xuanyanfeng,7327,失败,
100,130,97_0614,7342,胜利,
101,131,HCx_hei,4936,胜利,
102,132,xuanyanfeng,5728,失败,
