id,vehicle,player,damage,isWin,createTime
22,41,ENMO,1211,胜利,
23,42,Jor_Mosi,1280,胜利,
34,56,Jor_Mosi,1547,胜利,
44,66,Jor_Mosi,1300,胜利,
45,67,Jor_Mosi,1398,胜利,
212,255,wang易狗杂,7071,胜利,
515,27,4SA－肉侦斥候－秀儿,7121,胜利,2021-09-15 00:18:30
516,251,Rip_Hamilton,9625,胜利,2021-09-15 09:53:18
517,366,4SA－天生丽质－快乐夜莺,7365,胜利,2021-09-15 09:53:22
518,81,super_mario,2603,胜利,2021-09-15 09:53:34
519,206,4SA－天生丽质－快乐夜莺,7856,胜利,2021-09-15 09:53:38
520,126,一生所爱·nxn,8587,胜利,2021-09-15 09:53:45
521,26,一生所爱·nxn,7296,失败,2021-09-15 09:53:47
523,30,Ender007-1,8093,胜利,2021-09-15 09:53:49
524,255,TWITCH®,9290,胜利,2021-09-15 09:53:50
525,310,奥黛莉亲王,3076,胜利,2021-09-15 09:53:55
526,130,4SA_威严满满_天狼星,7747,失败,2021-09-15 09:53:59
527,126,一生所爱·nxn,8114,平局,2021-09-15 09:54:05
528,138,Alm_我是大混子_CN,6019,失败,2021-09-15 09:54:10
529,196,Masked_混子,6152,胜利,2021-09-15 09:54:17
530,395,SDT_Rip,9340,胜利,2021-09-15 09:54:23
531,62,欧尔埋特,1209,胜利,2021-09-15 09:54:26
532,177,零的英雄,4941,胜利,2021-09-15 09:54:32
533,187,欧尔埋特,3898,胜利,2021-09-15 09:54:35
535,195,IFA_团小闹钟_万场氪孤,1993,胜利,2021-09-15 09:54:47
536,130,欧尔埋特,5032,平局,2021-09-15 09:54:51
537,396,欧尔埋特,4134,胜利,2021-09-15 09:54:58
538,198,欧尔埋特,4062,胜利,2021-09-15 09:55:03
539,423,零的英雄,7041,平局,2021-09-15 09:55:07
540,461,零的英雄,4501,胜利,2021-09-15 09:55:11
541,245,零的英雄,4619,失败,2021-09-15 09:55:13
543,224,Kinuhata_Saiai,4316,胜利,2021-09-15 09:57:08
544,430,零的英雄,5245,胜利,2021-09-15 09:57:11
545,219,Kinuhata_Saiai,4281,胜利,2021-09-15 09:57:39
546,410,零的英雄,4787,胜利,2021-09-15 09:57:42
